Hisse Senedi,Tarih,Oran,http://www.ekinvest.com/Site/hisseler/Temettu 01/01/2013-31/12/2015
PRKME,31.12.2015,1.21
MEPET,28.12.2015,1.03
EMKEL,21.12.2015,1.01
ADANA,15.12.2015,1.11
ADBGR,15.12.2015,1.12
ADNAC,15.12.2015,1.1
BOLUC,15.12.2015,1.03
LIDFA,15.12.2015,1.24
MRDIN,15.12.2015,1.14
UNYEC,15.12.2015,1.12
KRDMA,11.12.2015,1.03
KRDMB,11.12.2015,1.03
KRDMD,11.12.2015,1.04
ASLAN,10.12.2015,1.02
AKGUV,7.12.2015,1.03
ACSEL,1.12.2015,9.89
HEKTS,27.11.2015,1.09
ENKAI,11.11.2015,1.01
ZOREN,9.11.2015,1.15
EGPRO,4.11.2015,1.34
BAKAB,30.10.2015,1.06
FINBN,30.10.2015,1.06
SAFGY,30.10.2015,1.13
TTRAK,30.10.2015,1.03
GLYHO,28.10.2015,0.95
BALAT,26.10.2015,1
KUYAS,23.10.2015,2.64
BIMAS,21.10.2015,1.01
FROTO,16.10.2015,1.02
GYHOL,1.10.2015,1.09
BAKAB,30.09.2015,1.06
PNSUT,30.09.2015,1.04
DENIZ,21.09.2015,2.29
RYGYO,16.09.2015,1.03
AKMGY,15.09.2015,1.01
AVISA,15.09.2015,3.3
ORMA,7.09.2015,1.71
RYSAS,7.09.2015,1.08
ISBIR,1.09.2015,1.01
BAKAB,31.08.2015,1.06
VKING,28.08.2015,0.67
SNGYO,27.08.2015,1.11
PSDTC,26.08.2015,1.04
BOSSA,25.08.2015,1.25
ANELE,24.08.2015,1.01
ASCEL,21.08.2015,1.02
SARKY,6.08.2015,1.25
SAYAS,4.08.2015,1.16
GUBRF,31.07.2015,1.02
GSDHO,29.07.2015,1.19
TMPOL,29.07.2015,2.7
AKGUV,23.07.2015,1.17
LKMNH,13.07.2015,1.02
YGGYO,13.07.2015,2
OZKGY,8.07.2015,1.59
DOCO,6.07.2015,1.01
OZRDN,6.07.2015,1.22
OSMEN,3.07.2015,1.29
SISE,3.07.2015,1.12
